"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"2403/E/09/21","E04","2021-10-15","2021-10-18 09:56","4:34"
"2404/E/09/21","E04","2021-10-15","2021-10-18 09:13","1:40"
"2405/E/09/21","E07","2021-10-15","2021-10-18 06:33","3:43"
"2406/E/09/21","E04","2021-10-18","2021-10-18 12:23","2:57"
"2408/E/09/21","E02","2021-10-18","2021-10-18 13:05","1:39"
"2409/E/09/21","E04","2021-10-18","2021-10-18 12:58","2:59"
"2410/E/09/21","E02","2021-10-18","2021-10-18 12:51","1:06"
"2411/E/09/21","E04","2021-10-18","2021-10-18 12:44","0:42"
"2412/E/09/21","E09","2021-10-18","2021-10-18 12:37","2:57"
"2413/E/09/21","E09","2021-10-18","2021-10-18 12:30","1:36"
"2414/E/09/21","E04","2021-10-18","2021-10-18 14:01","1:02"
"2416/E/09/21","E02","2021-10-12","2021-10-12 17:35","1:14"
"2418/E/09/21","E02","2021-10-12","2021-10-12 17:21","1:27"
"2422/E/09/21","E02","2021-10-12","2021-10-12 17:49","0:40"
"2423/E/09/21","E04","2021-10-12","2021-10-12 17:42","4:05"
"2424/E/09/21","E05","2021-10-18","2021-10-18 14:08","4:29"
"2425/E/09/21","E05","2021-10-18","2021-10-18 14:15","1:23"
"2426/E/09/21","E09","2021-10-15","2021-10-18 06:40","4:40"
"2452/E/09/21","E09","2021-10-18","2021-10-18 15:18","1:36"
"2453/E/09/21","E04","2021-10-18","2021-10-18 15:11","0:46"
"2454/E/09/21","E09","2021-10-18","2021-10-18 15:46","4:40"
"2455/E/09/21","E05","2021-10-18","2021-10-18 12:16","2:03"
"2456/E/09/21","E05","2021-10-18","2021-10-18 12:09","3:15"
"2457/E/09/21","E05","2021-10-18","2021-10-18 12:02","2:23"
"2458/E/09/21","E05","2021-10-18","2021-10-18 10:39","2:23"
"2459/E/09/21","E05","2021-10-18","2021-10-18 10:24","2:18"
"2460/E/09/21","E05","2021-10-18","2021-10-18 11:55","3:38"
"2461/E/09/21","E05","2021-10-18","2021-10-18 10:32","3:38"
"2462/E/09/21","E05","2021-10-18","2021-10-18 11:08","4:24"
"2463/E/09/21","E05","2021-10-18","2021-10-18 11:01","4:24"
"2464/E/09/21","E05","2021-10-15","2021-10-18 11:48","4:24"
"2465/E/09/21","E05","2021-10-18","2021-10-18 10:10","4:24"
"2466/E/09/21","E05","2021-10-18","2021-10-18 10:17","4:24"
"2467/E/09/21","E05","2021-10-18","2021-10-18 10:03","3:03"
"2468/E/09/21","E05","2021-10-15","2021-10-18 09:46","4:05"
"2469/E/09/21","E05","2021-10-18","2021-10-18 09:39","2:13"
"2470/E/09/21","E05","2021-10-15","2021-10-18 09:32","1:17"
"2471/E/09/21","E05","2021-10-18","2021-10-18 11:41","4:05"
"2472/E/09/21","E05","2021-10-15","2021-10-18 11:34","1:17"
"2493/E/09/21","E03","2021-10-18","2021-10-19 07:48","4:20"
"2494/E/09/21","E03","2021-10-19","2021-10-19 07:55","1:14"
"2495/E/09/21","E03","2021-10-18","2021-10-19 06:26","4:20"
"2496/E/09/21","E03","2021-10-18","2021-10-18 15:53","3:49"
"2497/E/09/21","E02","2021-10-15","2021-10-15 14:27","0:35"
"2498/E/09/21","E05","2021-10-15","2021-10-15 14:20","1:23"
"2499/E/09/21","E05","2021-10-18","2021-10-18 13:47","1:10"
"2500/E/09/21","E05","2021-10-18","2021-10-18 13:54","1:28"
"2501/E/09/21","E05","2021-10-18","2021-10-18 13:40","3:40"
"2502/E/09/21","E05","2021-10-18","2021-10-18 13:33","2:00"
"2503/E/09/21","E05","2021-10-18","2021-10-18 13:26","1:28"
"2504/E/09/21","E05","2021-10-18","2021-10-18 13:19","1:24"
"2505/E/09/21","E05","2021-10-18","2021-10-18 13:12","1:50"
"2507/E/09/21","E05","2021-10-18","2021-10-18 14:22","1:37"
"2508/E/09/21","E07","2021-10-19","2021-10-19 12:35","3:44"
"2509/E/09/21","E07","2021-10-19","2021-10-19 12:42","2:40"
"2510/E/09/21","E08","2021-10-18","2021-10-18 16:28","3:56"
"2511/E/09/21","E08","2021-10-18","2021-10-18 16:21","3:56"
"2512/E/09/21","E08","2021-10-18","2021-10-18 16:14","3:56"
"2513/E/09/21","E03","2021-10-18","2021-10-18 16:07","1:45"
"2514/E/09/21","E05","2021-10-18","2021-10-18 16:00","1:31"
"2515/E/09/21","E06","2021-10-18","2021-10-18 15:32","1:31"
"2516/E/09/21","E05","2021-10-18","2021-10-18 15:25","1:34"
"2517/E/09/21","E04","2021-10-18","2021-10-18 15:04","0:46"
"2518/E/09/21","E09","2021-10-18","2021-10-18 14:57","3:00"
"2519/E/09/21","E08","2021-10-18","2021-10-18 15:39","2:19"
"2520/E/09/21","E07","2021-10-18","2021-10-18 14:43","1:54"
"2534/E/09/21","E04","2021-10-11","2021-10-12 12:06","3:54"
"2535/E/09/21","E04","2021-10-12","2021-10-12 12:13","3:54"
"2536/E/09/21","E04","2021-10-12","2021-10-12 12:20","2:04"
"2537/E/09/21","E04","2021-10-11","2021-10-12 11:41","4:23"
"2538/E/09/21","E04","2021-10-11","2021-10-12 11:59","4:23"
"2539/E/09/21","E05","2021-10-19","2021-10-19 12:01","3:18"
"2540/E/09/21","E05","2021-10-19","2021-10-19 11:54","4:41"
"2541/E/09/21","E05","2021-10-19","2021-10-19 11:05","1:20"
"2548/E/09/21","E02","2021-10-19","2021-10-19 13:24","0:57"
"2549/E/09/21","E02","2021-10-19","2021-10-19 13:17","1:49"
"2550/E/09/21","E03","2021-10-19","2021-10-19 13:10","0:42"
"2551/E/09/21","E03","2021-10-19","2021-10-19 12:49","0:43"
"2552/E/09/21","E02","2021-10-19","2021-10-19 12:22","0:49"
"2553/E/09/21","E03","2021-10-19","2021-10-19 12:15","0:50"
"2554/E/09/21","E08","2021-10-18","2021-10-18 14:29","3:34"
"2555/E/09/21","E09","2021-10-19","2021-10-19 13:38","4:40"
"2556/E/09/21","E09","2021-10-19","2021-10-19 13:31","4:45"
"2558/E/09/21","E02","2021-10-11","2021-10-11 13:02","2:08"
"2560/E/09/21","E02","2021-10-11","2021-10-11 12:55","2:08"
"2570/E/09/21","E02","2021-10-19","2021-10-19 14:13","1:33"
"2571/E/09/21","E09","2021-10-19","2021-10-19 14:06","4:40"
"2579/E/09/21","E05","2021-10-19","2021-10-19 13:52","1:03"
"2580/E/09/21","E04","2021-10-13","2021-10-13 20:30","0:42"
"2581/E/09/21","E02","2021-10-13","2021-10-13 20:23","0:54"
"2583/E/09/21","E02","2021-10-19","2021-10-19 14:20","1:15"
"2584/E/09/21","E09","2021-10-19","2021-10-19 15:09","4:40"
"2585/E/09/21","E09","2021-10-19","2021-10-19 15:02","4:40"
"2586/E/09/21","E02","2021-10-19","2021-10-19 14:55","0:40"
"2587/E/09/21","E04","2021-10-19","2021-10-19 14:48","3:54"
"2588/E/09/21","E04","2021-10-19","2021-10-19 14:41","3:54"
"2589/E/09/21","E04","2021-10-19","2021-10-19 14:34","3:01"
"2590/E/09/21","E04","2021-10-19","2021-10-19 14:27","2:09"
"2591/E/09/21","E08","2021-10-19","2021-10-19 13:59","2:28"
"2592/E/09/21","E08","2021-10-19","2021-10-19 13:45","3:07"
"2593/E/09/21","E03","2021-10-18","2021-10-18 16:35","2:37"
"2594/E/09/21","E04","2021-10-13","2021-10-13 20:37","4:14"
"2595/E/09/21","E08","2021-10-18","2021-10-18 14:50","2:05"
"2596/E/09/21","E04","2021-10-13","2021-10-13 20:44","3:54"
"2597/E/09/21","E04","2021-10-13","2021-10-13 20:51","3:54"
"2598/E/09/21","E04","2021-10-13","2021-10-14 06:20","3:54"
"2599/E/09/21","E04","2021-10-13","2021-10-14 07:10","3:54"
"2600/E/09/21","E04","2021-10-13","2021-10-14 07:17","2:04"
"2601/E/09/21","E08","2021-10-13","2021-10-13 20:58","1:15"
"2602/E/09/21","E03","2021-10-19","2021-10-20 06:14","4:43"
"2609/E/09/21","E02","2021-10-11","2021-10-11 14:32","0:56"
"2611/E/09/21","E02","2021-10-11","2021-10-11 14:25","1:39"
"2612/E/09/21","E02","2021-10-11","2021-10-11 14:18","0:56"
"2623/E/09/21","E02","2021-10-11","2021-10-11 14:11","0:56"
"2629/E/09/21","E02","2021-10-11","2021-10-11 14:04","0:56"
"3/E/10/21","E10","2021-10-19","2021-10-19 13:03","3:10"
"4/E/10/21","E10","2021-10-19","2021-10-19 12:56","3:10"
